Egy	FR0.25T	FR0.25T corrected	FR0.5T	FR0.5T corrected	FR0.75T	FR0.75T corrected	FR1T	FR1T corrected	FR1.2T	FR1.2T corrected	FR1.4T	FR1.4T corrected
2.2064	-0.0095557	0.0077419	-0.0096605	-0.012726	-0.0072157	5.7113E-4	-7.5054E-4	-0.0042704	-9.3858E-4	-1.8231E-5	-0.0028326	-0.0027132
2.2054	-0.0092047	0.0080929	-0.0074314	-0.010497	-0.0067041	0.0010827	0.0022724	-0.0012475	-1.0585E-4	8.1449E-4	-0.0016857	-0.0015663
2.2043	-0.011889	0.0054085	-0.00836	-0.011425	-0.011055	-0.0032678	-0.0028656	-0.0063854	-0.0036607	-0.0027404	-0.0056669	-0.0055475
2.2032	-0.0072596	0.010038	-0.0055383	-0.0086038	-0.007226	5.6084E-4	0.0010513	-0.0024686	-7.9605E-4	1.2429E-4	-0.0024994	-0.00238
2.2021	-0.0099766	0.0073209	-0.0069735	-0.010039	-0.0083421	-5.5532E-4	-0.0010513	-0.0045711	-0.0053766	-0.0044563	-0.0028702	-0.0027508
2.201	-0.010003	0.0072947	-0.0066617	-0.0097272	-0.0085334	-7.466E-4	-0.0026131	-0.006133	-0.0035271	-0.0026068	-0.0012473	-0.001128
2.1999	-0.0058267	0.011471	-0.004669	-0.0077345	-0.006104	0.0016828	-9.8923E-4	-0.0045091	-0.0026686	-0.0017483	4.6706E-4	5.8643E-4
2.1988	-0.0075843	0.0097133	-0.0052471	-0.0083126	-0.0080263	-2.3945E-4	4.8925E-4	-0.0030306	-0.0018246	-9.0425E-4	-0.002202	-0.0020826
2.1977	-0.011583	0.0057148	-0.0099364	-0.013002	-0.0089058	-0.001119	-0.0014835	-0.0050033	-0.0056131	-0.0046927	-0.0054307	-0.0053114
2.1967	-0.011187	0.0061101	-0.0076459	-0.010711	-0.011096	-0.0033094	-0.0035327	-0.0070525	-0.0046204	-0.0037001	-0.0055595	-0.0054401
